CoingeckoID,Symbol,Chain,Address
wrapped-tao,TAO,Ethereum,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44
wrapped-tron,TRX,Tron,TNUC9Qb1rRpS5CbWLmNMxXBjyFoydXjWFR
